cityTitle,storeTitle,title,activityTimeRange,cacheAmount,terminalEnabled,city_UKR,city_ENG,admin2Name_ua,admin2Pcode,admin1Name_en,admin1Name_ua,admin1Pcode
Київ,"просп. Перемоги, 94/1","Київ, просп. Перемоги, 94/1",09:00 - 17:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"бул. Перова, 36","Київ, бул. Перова, 36",08:00 - 19:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Північна, 6в","Київ, вул. Північна, 6в",09:00 - 17:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Підлісна, 1","Київ, вул. Підлісна, 1",09:00 - 17:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Повітрофлотський, 66","Київ, просп. Повітрофлотський, 66",09:00 - 17:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Порика Василя, 5","Київ, просп. Порика Василя, 5",09:00 - 18:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Правди, 58","Київ, просп. Правди, 58",09:00 - 18:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Правди, 66","Київ, просп. Правди, 66",09:00 - 18:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Райдужна, 15","Київ, вул. Райдужна, 15",09:00 - 18:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Ревуцького, 12/1","Київ, вул. Ревуцького, 12/1",08:00 - 18:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"наб. Русанівська, 10","Київ, наб. Русанівська, 10",09:00 - 17:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Сагайдачного, 41","Київ, вул. Сагайдачного, 41",08:30 - 18:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Січових Стрільців, 37/41","Київ, вул. Січових Стрільців, 37/41",08:00 - 19:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Скляренка Семена, 17","Київ, вул. Скляренка Семена, 17",09:00 - 18:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"пл. Спортивна, 1а","Київ, пл. Спортивна, 1а",09:00 - 18:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Срібнокільська, 3","Київ, вул. Срібнокільська, 3",09:00 - 18:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
